                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6657,                 4.4685,                 1.8984,                0.02081,                0.08048,                0.04845,                0.03103,                 1.7009,                 4.9417,                 2.0268,             0.00013627,             0.00013627,             0.00013627
                      2,                 1.5266,                 4.1806,                 1.8172,                0.92613,                0.02738,                  0.069,                0.04332,                 1.6369,                 4.6548,                 2.0547,             0.00018443,             0.00018443,             0.00018443
                      3,                 1.5225,                 3.9855,                  1.797,                0.55205,                0.06352,                0.06381,                0.04086,                 1.6724,                 4.4429,                 2.0452,             0.00014085,             0.00014085,             0.00014085
